Sensor Name,Sensor Type,Timestamp,Temperature,Humidity,Dew Point,Heat Index,Feels Like,Wind Chill,Barometric Pressure,Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:15,42.3,95,41,41,40,42,30.44,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:20,42.3,95,41,41,40,42,30.44,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:25,42.5,93,41,41,40.2,43,30.43,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:30,42.3,93,40,41,40,42,30.43,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:35,42.4,93,41,41,40.1,42,30.44,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:40,42.3,93,40,41,40,42,30.44,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:45,41.9,93,40,40,39.5,42,30.44,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:50,41.7,93,40,40,39.3,42,30.44,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 5:55,41.5,95,40,40,39,42,30.44,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:00,41.5,95,40,40,39,42,30.44,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:05,41.5,96,40,40,39,42,30.45,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:10,41.4,96,40,40,38.9,41,30.45,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:15,41.1,96,40,39,38.6,41,30.45,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:20,41.1,96,40,39,38.6,41,30.45,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:25,41.1,96,40,39,38.6,41,30.44,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:30,41.4,96,40,40,38.9,41,30.45,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:35,41.4,96,40,40,38.9,41,30.45,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:40,41.4,96,40,40,38.4,41,30.45,,1,0,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:45,41.4,96,40,40,38.9,41,30.45,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:50,41.4,96,40,40,37.8,41,30.45,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 6:55,41.5,96,40,40,39,42,30.45,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:00,,,,,,,30.46,0,0,0,45,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:05,41.4,96,40,40,38.9,41,30.46,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:10,41.1,96,40,39,38.6,41,30.46,0,0,0,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:15,41.1,96,40,39,38,41,30.46,0,1,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:20,42.7,93,41,41,39.3,43,30.46,0,2,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:25,44,88,41,42,41.9,44,30.46,0,0,0,23,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:30,45,86,41,43,43,45,30.45,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:35,45.2,86,41,43,43.2,45,30.46,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:40,45.5,86,42,44,41.9,45,30.45,0,2,1,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:45,45.9,85,42,44,42.3,45,30.46,,3,2,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:50,46.1,85,42,44,43.7,46,30.46,0,1,2,45,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 7:55,46.5,83,42,45,43.5,47,30.46,0,2,2,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:00,47.6,81,42,46,44.7,48,30.46,0,2,2,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:05,48,80,42,46,44.5,47,30.45,0,3,2,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:10,48.6,79,42,47,45.7,49,30.46,0,2,2,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:15,49,76,42,47,46,49,30.46,0,2,2,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:20,50.3,74,42,49,47.4,50,30.45,0,3,2,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:25,51,73,43,49,48.8,51,30.46,0,2,2,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:30,51.9,71,43,50,49.7,52,30.46,0,2,2,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:35,52.3,71,43,51,49,52,30.45,0,3,2,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:40,52.6,69,43,51,49.2,53,30.45,0,5,2,135,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:45,53.4,68,43,52,50.7,53,30.46,0,1,2,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:50,54,65,42,52,51.2,54,30.45,0,2,3,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 8:55,55.1,63,43,53,52.3,55,30.45,0,3,3,158,,,,
